CustomerID,Title
1,Carrots
1,Cauliflower
1,Hot sauce
1,Jam 
1,Bananas
1,Berries
1,Cherries
1,Grapefruit
2,Coffee
2,Instant potatoes
2,Nectarines
2,Oranges
2,Peaches
2,Cake
2,Cake icing
2,Chocolate chips
2,Ground beef
2,Ham 
3,Hot dogs
3,Lunchmeat
3,Turkey
3,Candy
3,Cookies
3,Crackers
3,Dried fruit
3,Sliced bread
3,Apples
3,Avocados
3,Bananas
3,Milk
4,Yogurt
4,Bagels
4,Buns
4,Cake
4,Cucumbers
4,Lettuce
4,Mushrooms
4,Cosmetics
4,Cotton swabs
4,Facial cleanser
5,Floss
5,Hair gel
5,Lip balm
5,Sugar substitute
5,Yeast
5,Bacon
5,Beef
